14/10/14 11:13 PM
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	
Total:            	     9006	  101204	                   522715	                          612638	
Pendientes:       	     4377	   43915	                   242607	                          279883	
Únicos:           	     5682	   72317	                   378311	                          442690	
Pendientes únicos:	     3084	   32391	                   183147	                          210440	


Estadísticas por archivo individual:

Nombre de archivo                                                                 	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
plone-4-user-manual_archivos/additemmenufolder.html                               	            177	                 173	             156	                        153	              905	                891	            678	                       665	                              5825	                                5776	                            4510	                                       4463	                                     6413	                                       6354	                                   4903	                                              4846	
plone-4-user-manual_archivos/advancedstatepanel.html                              	            177	                 173	              21	                         20	              932	                911	            245	                       228	                              6124	                                6033	                            1625	                                       1543	                                     6744	                                       6636	                                   1815	                                              1717	
plone-4-user-manual.html                                                          	           2049	                 544	            1798	                        385	            24531	               2009	          23580	                      1515	                            125402	                               18300	                          119040	                                      14352	                                   146889	                                      18644	                                 139982	                                             14521	
working-with-content/adding-content/adding-collections.rst                        	              3	                   2	               3	                          2	               30	                 20	             30	                        20	                               209	                                 147	                             209	                                        147	                                      233	                                        164	                                    233	                                               164	
working-with-content/adding-content/adding-events.rst                             	             35	                   0	              25	                          0	              277	                  0	            248	                         0	                              1491	                                   0	                            1347	                                          0	                                     1739	                                          0	                                   1573	                                                 0	
working-with-content/adding-content/adding-files.rst                              	             21	                   0	              13	                          0	              201	                  0	            180	                         0	                              1009	                                   0	                             866	                                          0	                                     1180	                                          0	                                   1023	                                                 0	
working-with-content/adding-content/adding-folders.rst                            	             30	                   0	              22	                          0	              305	                  0	            274	                         0	                              1657	                                   0	                            1499	                                          0	                                     1924	                                          0	                                   1741	                                                 0	
working-with-content/adding-content/adding-images.rst                             	             33	                   0	              28	                          0	              369	                  0	            357	                         0	                              1781	                                   0	                            1708	                                          0	                                     2109	                                          0	                                   2027	                                                 0	
working-with-content/adding-content/adding-links.rst                              	             28	                   0	              20	                          0	              294	                  0	            272	                         0	                              1389	                                   0	                            1252	                                          0	                                     1646	                                          0	                                   1494	                                                 0	
working-with-content/adding-content/adding-new-content.rst                        	             98	                   0	              74	                          0	              859	                  0	            783	                         0	                              4280	                                   0	                            3837	                                          0	                                     5010	                                          0	                                   4519	                                                 0	
working-with-content/adding-content/adding-news-items.rst                         	             19	                   0	              10	                          0	              200	                  0	            171	                         0	                               991	                                   0	                             793	                                          0	                                     1163	                                          0	                                    944	                                                 0	
working-with-content/adding-content/adding-pages.rst                              	             30	                   0	              21	                          0	              357	                  0	            334	                         0	                              1965	                                   0	                            1817	                                          0	                                     2266	                                          0	                                   2103	                                                 0	
working-with-content/adding-content/index.rst                                     	             18	                   0	              16	                          0	               28	                  0	             18	                         0	                               346	                                   0	                             304	                                          0	                                      357	                                          0	                                    306	                                                 0	
working-with-content/adding-content/preparing-images-for-the-web.rst              	             31	                  24	              27	                         24	              399	                369	            385	                       369	                              1953	                                1812	                            1887	                                       1812	                                     2297	                                       2132	                                   2220	                                              2132	
working-with-content/adding-content/restricting-types-in-a-folder.rst             	             35	                  22	              23	                         22	              407	                355	            366	                       355	                              2121	                                1848	                            1902	                                       1848	                                     2467	                                       2152	                                   2216	                                              2152	
working-with-content/adding-content/setting-basic-properties.rst                  	             95	                  76	              81	                         73	             1032	                966	           1011	                       960	                              5587	                                5190	                            5459	                                       5163	                                     6490	                                       6040	                                   6350	                                              6010	
working-with-content/adding-content/whats-in-a-web-name.rst                       	             48	                   0	              12	                          0	              373	                  0	            155	                         0	                              1985	                                   0	                             809	                                          0	                                     2287	                                          0	                                    943	                                                 0	
working-with-content/collaboration-and-workflow/advanced-control.rst              	             33	                  21	              28	                         21	              533	                472	            528	                       472	                              2781	                                2450	                            2746	                                       2450	                                     3247	                                       2865	                                   3210	                                              2865	
working-with-content/collaboration-and-workflow/basic-publication-states.rst      	             31	                  24	              25	                         24	              529	                514	            523	                       514	                              2732	                                2638	                            2692	                                       2638	                                     3194	                                       3090	                                   3152	                                              3090	
working-with-content/collaboration-and-workflow/collaboration-through-sharing.rst 	            144	                  85	              86	                         85	             1229	               1068	           1069	                      1068	                              6219	                                5344	                            5353	                                       5344	                                     7236	                                       6247	                                   6256	                                              6247	
working-with-content/collaboration-and-workflow/index.rst                         	              9	                   6	               6	                          6	               29	                 26	             26	                        26	                               243	                                 221	                             221	                                        221	                                      263	                                        240	                                    240	                                               240	
working-with-content/collaboration-and-workflow/workflow-policies.rst             	             32	                  21	              21	                         21	              445	                398	            398	                       398	                              2361	                                2107	                            2107	                                       2107	                                     2747	                                       2456	                                   2456	                                              2456	
working-with-content/content-quality/content-quality-helpers.rst                  	             30	                  22	              29	                         22	              542	                382	            542	                       382	                              3857	                                3014	                            3855	                                       3014	                                     4326	                                       3337	                                   4324	                                              3337	
