04/10/14 09:01 AM
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	
Total:            	    13452	  106446	                   656891	                          742952	
Pendientes:       	     6055	   39748	                   293910	                          322718	
Únicos:           	     7872	   81836	                   480334	                          551705	
Pendientes únicos:	     3519	   28289	                   199330	                          222754	


Estadísticas por archivo individual:

Nombre de archivo                                                                                          	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
plone_3_theming/approaches/directions.rst                                                                  	             10	                   0	              10	                          0	              109	                  0	            109	                         0	                               611	                                   0	                             611	                                          0	                                      702	                                          0	                                    702	                                                 0	
plone_3_theming/approaches/filesystem.rst                                                                  	             17	                   0	              17	                          0	              345	                  0	            345	                         0	                              3084	                                   0	                            3084	                                          0	                                     3889	                                          0	                                   3889	                                                 0	
plone_3_theming/approaches/plonedefault.rst                                                                	             20	                   0	              20	                          0	              337	                  0	            337	                         0	                              1698	                                   0	                            1698	                                          0	                                     2013	                                          0	                                   2013	                                                 0	
plone_3_theming/buildingblocks/components/componentparts/interfaces.rst                                    	             40	                   0	              34	                          0	              385	                  0	            380	                         0	                              2433	                                   0	                            2338	                                          0	                                     2750	                                          0	                                   2655	                                                 0	
plone_3_theming/buildingblocks/components/componentparts/permissions.rst                                   	             91	                   0	              87	                          0	              352	                  0	            348	                         0	                              2592	                                   0	                            2556	                                          0	                                     2810	                                          0	                                   2773	                                                 0	
plone_3_theming/buildingblocks/components/componentparts/pythonclasses.rst                                 	             57	                   0	              52	                          0	              572	                  0	            572	                         0	                              3233	                                   0	                            3223	                                          0	                                     3712	                                          0	                                   3702	                                                 0	
plone_3_theming/buildingblocks/components/customizing.rst                                                  	             37	                   0	              21	                          0	              309	                  0	            280	                         0	                              1939	                                   0	                            1494	                                          0	                                     2182	                                          0	                                   1732	                                                 0	
plone_3_theming/buildingblocks/components/index.rst                                                        	              3	                   0	               3	                          0	                3	                  0	              3	                         0	                                57	                                   0	                              57	                                          0	                                       58	                                          0	                                     58	                                                 0	
plone_3_theming/buildingblocks/components/locations.rst                                                    	             28	                   0	              25	                          0	              280	                  0	            269	                         0	                              1683	                                   0	                            1589	                                          0	                                     1903	                                          0	                                   1798	                                                 0	
plone_3_theming/buildingblocks/components/skinorcomponents.rst                                             	             23	                   0	              23	                          0	              271	                  0	            271	                         0	                              1531	                                   0	                            1531	                                          0	                                     1768	                                          0	                                   1768	                                                 0	
plone_3_theming/buildingblocks/components/themespecific.rst                                                	             61	                   0	              45	                          0	              353	                  0	            329	                         0	                              2326	                                   0	                            2025	                                          0	                                     2603	                                          0	                                   2295	                                                 0	
plone_3_theming/buildingblocks/components/viewletsandportlets.rst                                          	             36	                   0	              36	                          0	              536	                  0	            536	                         0	                              3524	                                   0	                            3524	                                          0	                                     3926	                                          0	                                   3926	                                                 0	
plone_3_theming/buildingblocks/components/wiring.rst                                                       	             73	                   0	              61	                          0	              600	                  0	            587	                         0	                              3574	                                   0	                            3342	                                          0	                                     4055	                                          0	                                   3823	                                                 0	
plone_3_theming/buildingblocks/configuration/gsxml.rst                                                     	             24	                   0	              21	                          0	              224	                  0	            224	                         0	                              1271	                                   0	                            1265	                                          0	                                     1448	                                          0	                                   1442	                                                 0	
plone_3_theming/buildingblocks/configuration/locations.rst                                                 	             43	                   0	              38	                          0	              395	                  0	            380	                         0	                              2304	                                   0	                            2173	                                          0	                                     2623	                                          0	                                   2481	                                                 0	
plone_3_theming/buildingblocks/configuration/profiles.rst                                                  	             22	                   0	              20	                          0	              213	                  0	            213	                         0	                              1175	                                   0	                            1171	                                          0	                                     1348	                                          0	                                   1344	                                                 0	
plone_3_theming/buildingblocks/configuration/tool.rst                                                      	             18	                   0	              18	                          0	              291	                  0	            291	                         0	                              1566	                                   0	                            1566	                                          0	                                     1831	                                          0	                                   1831	                                                 0	
plone_3_theming/buildingblocks/overview.rst                                                                	             35	                   0	              34	                          0	              342	                  0	            342	                         0	                              1792	                                   0	                            1790	                                          0	                                     2118	                                          0	                                   2116	                                                 0	
plone_3_theming/buildingblocks/skin/layers/making.rst                                                      	             64	                   0	              51	                          0	              448	                  0	            432	                         0	                              2599	                                   0	                            2458	                                          0	                                     2958	                                          0	                                   2812	                                                 0	
plone_3_theming/buildingblocks/skin/layers/overview.rst                                                    	             41	                   0	              28	                          0	              282	                  0	            243	                         0	                              1556	                                   0	                            1263	                                          0	                                     1796	                                          0	                                   1460	                                                 0	
plone_3_theming/buildingblocks/skin/layers/precedence.rst                                                  	             28	                   0	              27	                          0	              404	                  0	            404	                         0	                              2001	                                   0	                            1999	                                          0	                                     2353	                                          0	                                   2351	                                                 0	
plone_3_theming/buildingblocks/skin/locations.rst                                                          	             41	                   0	              36	                          0	              366	                  0	            352	                         0	                              2009	                                   0	                            1879	                                          0	                                     2321	                                          0	                                   2180	                                                 0	
plone_3_theming/buildingblocks/skin/style-sheets/customstylesheet.rst                                      	             25	                   0	              22	                          0	              201	                  0	            201	                         0	                              1283	                                   0	                            1272	                                          0	                                     1451	                                          0	                                   1440	                                                 0	
plone_3_theming/buildingblocks/skin/templates/advanced-usage.rst                                           	            301	                   0	             268	                          0	             3062	                  0	           3041	                         0	                             16701	                                   0	                           16548	                                          0	                                    19055	                                          0	                                  18893	                                                 0	
plone_3_theming/buildingblocks/skin/templates/create-an-alternative-edit-template.rst                      	             45	                  38	              43	                         38	              483	                408	            482	                       408	                              2720	                                2307	                            2712	                                       2307	                                     3109	                                       2633	                                   3101	                                              2633	
plone_3_theming/buildingblocks/skin/templates/customizing-at-templates/conclusion.rst                      	             29	                   0	              29	                          0	              272	                  0	            272	                         0	                              1460	                                   0	                            1460	                                          0	                                     1724	                                          0	                                   1724	                                                 0	
plone_3_theming/buildingblocks/skin/templates/customizing-at-templates/customizing-widgets.rst             	            110	                   0	             104	                          0	              930	                  0	            924	                         0	                              5365	                                   0	                            5316	                                          0	                                     6091	                                          0	                                   6041	                                                 0	
plone_3_theming/buildingblocks/skin/templates/customizing-at-templates/introduction.rst                    	             20	                   0	              19	                          0	              191	                  0	            191	                         0	                              1202	                                   0	                            1177	                                          0	                                     1380	                                          0	                                   1355	                                                 0	
plone_3_theming/buildingblocks/skin/templates/customizing-at-templates/reference.rst                       	             54	                   0	              44	                          0	              372	                  0	            354	                         0	                              2115	                                   0	                            1990	                                          0	                                     2427	                                          0	                                   2287	                                                 0	
plone_3_theming/buildingblocks/skin/templates/customizing-at-templates/total-control-the-view-template.rst 	            112	                  80	              89	                         73	              970	                888	            934	                       860	                              5473	                                4969	                            5215	                                       4782	                                     6272	                                       5706	                                   5995	                                              5503	
plone_3_theming/buildingblocks/skin/templates/customizing-at-templates/what-makes-it-tick.rst              	             93	                  70	              84	                         67	              810	                688	            794	                       676	                              4690	                                4070	                            4532	                                       3975	                                     5349	                                       4627	                                   5174	                                              4516	
plone_3_theming/buildingblocks/skin/templates/getting-started.rst                                          	            241	                 194	             201	                        176	             3001	               2795	           2895	                      2695	                             15078	                               14002	                           14435	                                      13453	                                    17450	                                      16199	                                  16793	                                             15636	
plone_3_theming/buildingblocks/skin/templates/global-template-variables.rst                                	             25	                  19	              25	                         19	              214	                174	            214	                       174	                              1305	                                1131	                            1305	                                       1131	                                     1454	                                       1246	                                   1454	                                              1246	
plone_3_theming/buildingblocks/skin/templates/how-to-customise-view-or-edit-on-archetypes-content-items.rst	            110	                  85	              75	                         71	              772	                690	            686	                       654	                              4534	                                3996	                            3938	                                       3736	                                     5091	                                       4515	                                   4474	                                              4245	
plone_3_theming/buildingblocks/skin/templates/macros-and-slots.rst                                         	            226	                 186	             155	                        146	             1818	               1722	           1614	                      1535	                              9684	                                9182	                            8465	                                       8085	                                    11219	                                      10646	                                   9850	                                              9400	
plone_3_theming/buildingblocks/skin/templates/overview.rst                                                 	             51	                  40	              46	                         38	              526	                483	            520	                       477	                              3024	                                2835	                            2977	                                       2794	                                     3488	                                       3263	                                   3440	                                              3221	
plone_3_theming/elements/hiddenelements/plone.analytics.rst                                                	             56	                  35	              46	                         35	              263	                201	            246	                       201	                              2046	                                1541	                            1861	                                       1541	                                     2201	                                       1660	                                   2009	                                              1660	
plone_3_theming/elements/hiddenelements/plone.htmlhead.dublincore.rst                                      	             55	                  35	              19	                         15	              249	                188	             70	                        56	                              1998	                                1526	                             741	                                        602	                                     2141	                                       1631	                                    774	                                               625	
plone_3_theming/elements/hiddenelements/plone.htmlhead.kss-base-url.rst                                    	             54	                  34	              11	                          9	              255	                187	             53	                        35	                              1979	                                1502	                             454	                                        375	                                     2131	                                       1609	                                    488	                                               393	
plone_3_theming/elements/hiddenelements/plone.htmlhead.title.rst                                           	             54	                  35	               9	                          8	              248	                191	             30	                        23	                              1945	                                1521	                             308	                                        282	                                     2087	                                       1628	                                    325	                                               293	
plone_3_theming/elements/hiddenelements/plone.links.author.rst                                             	             55	                  34	              19	                         15	              261	                191	             84	                        62	                              2059	                                1546	                             808	                                        636	                                     2213	                                       1656	                                    854	                                               666	
plone_3_theming/elements/hiddenelements/plone.links.favicon.rst                                            	             55	                  34	              11	                          8	              261	                192	             44	                        25	                              2073	                                1559	                             394	                                        283	                                     2226	                                       1669	                                    421	                                               296	
plone_3_theming/elements/hiddenelements/plone.links.navigation.rst                                         	             55	                  36	              11	                         10	              267	                210	             50	                        43	                              2134	                                1700	                             455	                                        424	                                     2291	                                       1822	                                    486	                                               449	
plone_3_theming/elements/hiddenelements/plone.links.RSS.rst                                                	             55	                  36	              10	                          9	              264	                207	             36	                        29	                              2057	                                1630	                             312	                                        288	                                     2211	                                       1749	                                    333	                                               303	
plone_3_theming/elements/hiddenelements/plone.links.search.rst                                             	             55	                  35	              11	                          9	              260	                193	             43	                        26	                              2056	                                1568	                             377	                                        292	                                     2208	                                       1678	                                    403	                                               305	
plone_3_theming/elements/hiddenelements/plone.nextprevious.links.rst                                       	             55	                  36	              13	                         12	              266	                208	             64	                        56	                              2168	                                1725	                             595	                                        555	                                     2325	                                       1847	                                    630	                                               584	
plone_3_theming/elements/hiddenelements/plone.skip_links.rst                                               	             55	                  37	              17	                         16	              275	                225	             80	                        78	                              2131	                                1729	                             729	                                        668	                                     2291	                                       1860	                                    773	                                               711	
plone_3_theming/elements/index.rst                                                                         	              5	                   0	               3	                          0	               50	                  0	             48	                         0	                               276	                                   0	                             257	                                          0	                                      322	                                          0	                                    302	                                                 0	
plone_3_theming/elements/portlet/anatomy.rst                                                               	             13	                  12	              13	                         12	               97	                 93	             97	                        93	                               559	                                 521	                             559	                                        521	                                      637	                                        596	                                    637	                                               596	
